,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
265,-0.2985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,mean R
266,0.59,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.9971,minr AL
267,0.4143,-1.0,-1.0,-1.0,0.1989,-1.0,-1.0,-0.6007,orient
268,0.4448,0.9952,0.9958,-1.0,0.9951,-1.0,-0.0399,0.9959,P
269,0.2097,-1.0,0.1811,-1.0,-1.0,-1.0,-1.0,0.4139,solid
270,0.4582,0.9976,-1.0,-1.0,-1.0,-1.0,-1.0,0.1036,fer max
271,-1.0,0.9993,-1.0,-1.0,-1.0,-1.0,-1.0,0.8745,fer mean
272,-1.0,0.9954,-1.0,-1.0,-1.0,-1.0,-1.0,0.9785,fer med
273,-1.0,0.9963,-1.0,-1.0,-1.0,-1.0,-1.0,0.4384,fer std
274,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0674,0.7093,fer min ang
275,0.5629,0.9953,-1.0,-1.0,-1.0,-1.0,-1.0,0.7357,fer min
276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9691,mar max
277,-1.0,0.98,-1.0,-1.0,-1.0,-1.0,-1.0,0.885,mar mean
278,-1.0,0.9762,-1.0,-1.0,-1.0,-1.0,-1.0,0.9035,mar med
279,-1.0,-0.1246,-1.0,-1.0,-1.0,-1.0,-1.0,0.0728,mar min
280,-1.0,0.6437,-1.0,-1.0,-1.0,-1.0,-1.0,0.4758,mar mode
281,-1.0,0.4646,-1.0,-1.0,-1.0,-1.0,-1.0,0.9447,mar std
282,-1.0,0.0269,-1.0,-1.0,-1.0,-1.0,-1.0,-0.046,nas max
283,-1.0,0.0974,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1613,nas mean
284,-1.0,0.8624,-1.0,-1.0,-1.0,-1.0,-1.0,0.7515,nas med
285,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,nas min
286,-1.0,-0.1479,-1.0,-1.0,-1.0,-1.0,-1.0,0.5923,nas mode
287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0268,nas std
288,-1.0,0.9869,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0752,maxch
289,-1.0,0.9817,-1.0,-1.0,-1.0,-1.0,-1.0,0.9177,maxch mean
290,-1.0,0.9872,-1.0,-1.0,-1.0,-1.0,-1.0,0.8398,maxch med
291,-1.0,0.6072,-1.0,-1.0,-1.0,-1.0,-1.0,0.3208,maxch min
292,-1.0,0.6215,-1.0,-1.0,-1.0,-1.0,-1.0,0.5707,maxch mode
293,-1.0,0.4768,-1.0,-1.0,-1.0,-1.0,-1.0,0.9419,maxch std
294,-1.0,0.9869,-1.0,-1.0,-1.0,-1.0,-1.0,0.7957,alch max
